20MICRONS,INDUSTRIAL MINERALS,MINING & MINERALS
AYMSYNTEX,Textiles,Textiles subtype Processing Texturising
BAFNAPHARM,Pharmaceuticals,Formulations
BAGFILMS,Entertainment,Entertainment Multi Media
BAJAJsubtypeAUTO,Auto,Auto subtype 2 & 3 Wheelers
BAJAJCORP,Diversified,Diversified
BAJAJELEC,Appliances,Domestic Appliances subtype Fans
BAJAJFINSV,Finance,Finance subtype General
BAJAJHIND,Sugar,Sugar subtype Integrated
BAJAJHLDNG,Finance,Finance subtype Investments
BAJFINANCE,Finance,Finance subtype Leasing & Hire Purchase
BALAJITELE,Entertainment,Entertainment Multi Media
BALAMINES,Chemicals,Chemicals subtype Organic subtype Others
BALKRISHNA,NA,NA
BALKRISIND,Auto Ancl,Tyres & Tubes
BALLARPUR,Paper,Paper & Paper Boards
BALMLAWRIE,Diversified,Diversified
BALPHARMA,Pharmaceuticals,Pharmaceuticals
BALRAMCHIN,Sugar,Sugar subtype Integrated
BANARISUG,Sugar,Sugar subtype Others
BANCOINDIA,Auto Ancl,Auto Ancl subtype Engine Parts
BANKBARODA,Banks subtype PSU,Finance subtype Banks subtype Public Sector
BANKBEES,ETF,Bank Nifty
BANKINDIA,Banks subtype PSU,Finance subtype Banks subtype Public Sector
BANKNIFTY,Index,Index
BANSWRAS,Textiles,Textiles subtype Spinning subtype Synthetic Blended
BARTRONICS,Computers,Computers subtype Hardware
BASF,Chemicals,Chemicals subtype Organic subtype Others
BASML,Textiles,Textiles subtype General
BATAINDIA,Leather,Leather Synthetic subtype Footwear
BAYERCROP,Agro,Pesticides Agro Chemicals
BBL,Electric,Electric Equipment subtype Transformers
BBTC,Tea subtype Coffee,Plantations subtype Tea & Coffee
BEDMUTHA,Electronics,Electronics subtype Others
BEL,Electronics,Electronics subtype Others
BEML,Engineering,Heavy
BEPL,Petrochem,Petrochem subtype Polymers
BERGEPAINT,Paints,Paints Varnishes
BFINVEST,Finance,Finance subtype Investments
BFUTILITIE,Power,Generation Distribution
BGRENERGY,Engineering,General
BHAGERIA,Dyes,Dyes & Pigments
BHANDARI,NA,NA
BHARATFIN,NA,NA
BHARATFORG,Auto Ancl,Forgings
BHARATGEAR,Auto Ancl,Auto Ancl subtype Gears & Drive
BHARATIDIL,NA,NA
BHARATRAS,Agro,Pesticides Agro Chemicals
BHARATWIRE,NA,NA
BHARTIARTL,Telecom,Telecommunications subtype Service
BHEL,Engineering,Heavy
BHUSANSTL,Steel,Steel subtype CR HR Strips
BIGBLOC,NA,NA
BIL,Leather,Leather subtype Garments
BINANIIND,Misc,Miscellaneous
BINDALAGRO,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
BIOCON,Pharmaceuticals,Pharmaceuticals
BIRLACABLE,NA,NA
BIRLACORPN,Cement,Major
BLISSGVS,Pharmaceuticals,Contraceptives
BLKASHYAP,Construction,Construction & Contracting subtype Civil
BLS,NA,NA
BLUEBLENDS,Textiles,Textiles subtype Processing Texturising
BLUECOAST,Pharmaceuticals,Pharmaceuticals
BLUEDART,Couriers,Couriers
BLUESTARCO,Air Conditioners,Air Conditioners
BODALCHEM,Dyes,Dyes & Pigments
BOMDYEING,Petrochem,Petrochem subtype Polymers
BOSCHLTD,Auto Ancl,Auto Ancl subtype Engine Parts
BPCL,Refineries,Refineries
BPL,Consumer Goods,Consumer Goods subtype Electronic
BRFL,Textiles,Textiles subtype General
BRIGADE,Construction,Construction and Contracting subtype Real Estate
BRITANNIA,Food Processing,Food Processing subtype Dairy
BROOKS,Pharmaceuticals,Bulk Drugs & Formln
BSE,NA,NA
BSL,Textiles,Textiles subtype Weaving
BSLIMITED,Transmisson Line Towers,Transmisson Line Towers  Equipment
BURNPUR,Cement,Cement subtype Products Building Materials
BUTTERFLY,Appliances,Domestic Appliances subtype Others
BYKE,Hotels,Hotels
CADILAHC,Pharmaceuticals,Pharmaceuticals
CAMLINFINE,Chemicals,Chemicals subtype Others
CANBK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
CANFINHOME,Finance,Finance subtype Housing
CANTABIL,Textiles,Textiles subtype Readymade Apparels
CAPF,Finance,Finance subtype Investments
CAPLIPOINT,Pharmaceuticals,Formulations
CAPTRUST,NA,NA
CARBORUNIV,Grinding Wheels,Abrasives Grinding Wheels
CAREERP,Misc,Miscellaneous
CARERATING,Misc,Miscellaneous
CASTEXTECH,Auto Ancl,Auto Ancl subtype Others
CASTROLIND,Chemicals,Chemicals subtype Others
CCHHL,Hotels,Hotels
CCL,Tea subtype Coffee,Plantations subtype Tea & Coffee
CEATLTD,Auto Ancl,Tyres & Tubes
CEBBCO,Engineering,General
CELEBRITY,Textiles,Textiles subtype Readymade Apparels
CELESTIAL,Pharmaceuticals,Pharmaceuticals
CENTENKA,Textiles,Textiles subtype Manmade Fibre subtype PFY PSF
CENTRALBK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
CENTUM,Electronics,Electronics subtype Others
CENTURYPLY,Consumer Goods,Decoratives subtype Wood Based
CENTURYTEX,Diversified,Diversified
CERA,Ceramics,Ceramics Tiles Sanitaryware
CEREBRAINT,Computers,Computers subtype Hardware
CESC,Power,Generation Distribution
CGCL,Finance,Finance subtype Investments
CGPOWER,NA,NA
CHAMBLFERT,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
CHEMFALKAL,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
CHENNPETRO,Refineries,Refineries
CHOLAFIN,Finance,Finance subtype Leasing & Hire Purchase
CHROMATIC,Dyes,Dyes & Pigments
CIGNITITEC,Computers, Medium  Small
CINELINE,Entertainment,Entertainment Multi Media
CIPLA,Pharmaceuticals,Pharmaceuticals
CLEDUCATE,NA,NA
CLNINDIA,Dyes,Dyes & Pigments
CMICABLES,NA,NA
CNOVAPETRO,Textiles,Manmade
COALINDIA,Mining,Mining Minerals
COFFEEDAY,Hotels,Hotels
COLPAL,FMCG,Personal Care
COMPINFO,NA,NA
COMPUSOFT,Computers,Education
CONCOR,Transport,Transport subtype Road
CONSOFINVT,Finance,Finance subtype General
CONTROLPR,NA,NA
CORDSCABLE,Cables,Cables subtype Power Others
COROMANDEL,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
CORPBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
COSMOFILMS,Plastics,Plastics subtype BOPP subtype Sheets Films
COUNCODOS,Construction,Construction and Contracting subtype Real Estate
COX&KINGS,Travel,Travel Agen.   Tourism Deve.   Amusement Park
CRISIL,Misc,Services subtype Others
CROMPTON,NA,NA
CTE,Computers, Medium  Small
CUB,Banks subtype Private,Finance subtype Banks subtype Private Sector
CUMMINSIND,Engines,Engines
CUPID,NA,NA
CYBERTECH,Computers,Software
CYIENT,Computers, Medium  Small
DAAWAT,Misc,Food Wholesale
DABUR,FMCG,Personal Care
DALMIABHA,Refractories / Intermediates,Refractories   Intermediates
DALMIASUG,Sugar,Sugar subtype Integrated
DAMODARIND,NA,NA
DATAMATICS,Computers,Software
DBCORP,Printing,Printing Publishing Stationery
DBL,NA,NA
DBREALTY,Construction,Construction and Contracting subtype Real Estate
DBSTOCKBRO,Finance,Finance subtype Investments
DCBBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
DCM,Textiles,Textiles subtype Spinning subtype Cotton Blended
DCMSHRIRAM,Diversified,Mega
DCW,Petrochem,Petrochem subtype Others
DECCANCE,Cement,Cement subtype Mini
DEEPAKFERT,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
DEEPAKNTR,Chemicals,Chemicals subtype Inorganic subtype Others
DEEPIND,Misc,Services subtype Others
DELTACORP,Diversified,Diversified
DELTAMAGNT,Electronics,Electronics subtype Others
DEN,Entertainment,Entertainment Multi Media
DENABANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
DENORA,Misc,Welding Equipment subtype Electrodes,INDUSTRIAL EQUIPMENT,DENORA,ELECTRIC EQUIPMENT
DFMFOODS,NA,NA
DHAMPURSUG,Sugar,Sugar subtype Integrated
DHANBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
DHANUKA,Agro,Pesticides Agro Chemicals
DHARSUGAR,Sugar,Sugar subtype Integrated
DHFL,Finance,Finance subtype Housing
DHUNINV,Finance,Finance subtype General
DIAPOWER,Cables,Cables subtype Power Others
DICIND,Printing,Printing Publishing Stationery
DIGJAMLTD,NA,NA
DISHMAN,Pharmaceuticals,Pharmaceuticals
DISHTV,Entertainment,Entertainment Multi Media
DIVISLAB,Pharmaceuticals,Pharmaceuticals
DLF,Construction,Construction and Contracting subtype Real Estate
DLINKINDIA,Misc,Miscellaneous
DMART,NA,NA
DOLPHINOFF,Oil Drilling,Drilling Exploration
DONEAR,Textiles,Textiles subtype Weaving
DPL,Petrochem,Petrochem subtype Others
DPSCLTD,Power,Generation Distribution
DREDGECORP,Misc,Miscellaneous
DRREDDY,Pharmaceuticals,Pharmaceuticals
DTIL,Tea subtype Coffee,Plantations subtype Tea & Coffee
DUCON,NA,NA
DWARKESH,Sugar,Sugar subtype Others
DYNAMATECH,Misc,Hydraulics
EASTSILK,Textiles,Textiles subtype Synthetic Silk
ECEIND,Misc,Lighting Systems
ECLERX,Services,Business Services
EDELWEISS,Finance,Finance subtype General
EDL,Beverages,Beverages subtype Alcoholic subtype Breweries
EDUCOMP,Computers,Softwaresubtype Training
EICHERMOT,Auto,Auto subtype LCVs HCVs
EIDPARRY,Sugar,Sugar subtype Others
EIHAHOTELS,Hotels,Hotels
EIHOTEL,Hotels,Hotels
EIMCOELECO,Engineering,Heavy
EKC,Packaging,Packaging subtype Others
ELAND,Textiles,Textiles subtype Processing Texturising
ELECON,Engineering,Heavy
ELECTCAST,Castings,Castings Foundry
ELECTHERM,Engineering,General
ELGIEQUIP,Compressors,Compressors
ELGIRUBCO,Misc,Miscellaneous
EMAMILTD,FMCG,Personal Care
EMCO,Electric,Electric Equipment subtype Transformers
EMKAY,Finance,Finance subtype General
EMMBI,Packaging,Packaging subtype Metallic
ENDURANCE,NA,NA
ENERGYDEV,Power,Generation Distribution
ENGINERSIN,Computers,Project Consultancy Turnkey
ENIL,Entertainment,Entertainment Multi Media
EON,Electric,Electric Equipment subtype General
EQUITAS,NA,NA
EROSMEDIA,Entertainment,Entertainment Multi Media
ESABINDIA,Misc,Welding Equipment subtype Electrodes
ESCORTS,Auto,Auto subtype Tractors
ESL,Steel,Steel subtype Tubes Pipes
ESSARSHPNG,Shipping,Shipping
ESSELPACK,Packaging,NaN
ESTER,Packaging,Metallic and Plastics
EUROTEXIND,Textiles,Textiles subtype Spinning subtype Cotton Blended
EVEREADY,Dry Cells,Dry Cells
EVERESTIND,Cement,Cement subtype Products Building Materials
EXCEL,NA,NA
EXCELCROP,Agro,Pesticides Agro Chemicals
EXCELINDUS,Agro,Pesticides Agro Chemicals
EXIDEIND,Auto Ancl,Auto Ancl subtype Batteries
FACT,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
FAGBEARING,Auto Ancl,Bearings
FAIRCHEM,NA,NA
FCL,Chemicals,Chemicals subtype Speciality subtype Others
FCONSUMER,NA,NA
FDC,Pharmaceuticals,Pharmaceuticals
FEDDERLOYD,Air Conditioners,Air Conditioners
FEDERALBNK,Banks subtype Private,Finance subtype Banks subtype Private Sector
FEL,NA,NA
FELDVR,NA,NA
FIEMIND,Auto Ancl,Auto Ancl subtype Equipment Lamp
FILATEX,Textiles,Manmade
FINCABLES,Cables,Cables subtype Telephone
FINPIPE,Petrochem,Petrochem subtype Polymers
FLEXITUFF,Packaging,Packaging subtype Others
FLFL,Textiles,Products
FMGOETZE,Auto Ancl,Auto Ancl subtype Engine Parts
FMNL,Misc,Miscellaneous
FORTIS,Medical,Hospitals & Medical Services
FOSECOIND,Chemicals,Chemicals subtype Organic subtype Others
FRETAIL,NA,NA
FSL,Computers,IT Enabled Services
GABRIEL,Auto Ancl,Auto Ancl subtype Shock Absorber
GAEL,Edible Oils,Edible Oils & Solvent Extraction
GAIL,Oil Drilling,Drilling Exploration
GAL,Steel,Steel subtype Rolling
GALLANTT,Steel,Steel subtype Sponge Iron
GALLISPAT,Steel,Steel
GAMMNINFRA,Infrastructure,Infrastructure subtype General
GAMMONIND,Construction,Construction & Contracting subtype Civil
GANDHITUBE,Steel,Steel subtype Tubes Pipes
GANECOS,Textiles,Textiles subtype Processing Texturising
GANESHHOUC,Construction,Construction & Contracting subtype Housing
GARDENSILK,Textiles,Textiles subtype Weaving
GARWALLROP,Textiles,Textiles subtype General
GATI,Couriers,Couriers
GAYAPROJ,Infrastructure,Infrastructure subtype General
GDL,Misc,Miscellaneous
GEECEE,Chemicals,Chemicals subtype Agro Based
GENESYS,Computers,Software
GENUSPAPER,Paper,Paper & Paper Boards
GENUSPOWER,Electronics,Electronics subtype Others
GEOJITFSL,NA,NA
GEPIL,NA,NA
GESHIP,Shipping,Shipping
GET&D,NA,NA
GHCL,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
GICHSGFIN,Finance,Finance subtype Housing
GILLANDERS,Diversified,Diversified
GILLETTE,FMCG,Personal Care
GINNIFILA,Textiles,Textiles subtype Spinning subtype Cotton Blended
GIPCL,Power,Generation Distribution
GITANJALI,Jewellery,Diamond Cutting Precious Metals Jewellery
GKWLIMITED,Misc,Fasteners
GLAXO,Pharmaceuticals,Pharmaceuticals
GLENMARK,Pharmaceuticals,Pharmaceuticals
GLOBALVECT,Misc,Services subtype Others
GLOBOFFS,Shipping,Shipping
GLOBUSSPR,Beverages,Beverages subtype Alcoholic subtype Breweries
GMBREW,Beverages,Beverages subtype Alcoholic subtype Distilleries
GMDCLTD,Mining,Mining Minerals
GMRINFRA,Infrastructure,Infrastructure subtype General
GNA,NA,NA
GNFC,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
GOACARBON,Petrochem,Petrochem subtype Others
GOCLCORP,Chemicals,Chemicals subtype Others
GODFRYPHLP,Cigarettes,Cigarettes
GODREJCP,FMCG,Personal Care
GODREJIND,Chemicals,Chemicals subtype Others
GODREJPROP,Construction,Construction and Contracting subtype Real Estate
GOKUL,Edible Oils,Edible Oils & Solvent Extraction
GOKULAGRO,NA,NA
GOLDBEES,ETF,Gold
GOLDIAM,Jewellery,Diamond Cutting Precious Metals Jewellery
GOLDSHARE,ETF,Gold
GOODLUCK,Steel,Steel
GPIL,Steel,Steel subtype Sponge Iron
GPPL,Shipping,Ship subtype Docks Breaking Repairs
GPTINFRA,NA,NA
GRANULES,Pharmaceuticals,Pharmaceuticals
GRAPHITE,Electronics,Electrodes subtype Graphite
GRASIM,Diversified,Diversified
GRAVITA,Metals,Metals subtype Non Ferrous subtype Others
GREAVESCOT,Engines,Engines
GREENLAM,Misc,Miscellaneous
GREENPLY,Consumer Goods,Decoratives subtype Wood Based
GREENPOWER,Power,Generation Distribution
GRINDWELL,Grinding Wheels,Abrasives Grinding Wheels
GROBTEA,NA,NA
GRPLTD,Misc,Miscellaneous
GRUH,Finance,Finance subtype Housing
GSCLCEMENT,Cement,North India
GSFC,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
GSKCONS,Food Processing,Food Processing subtype Dairy
GSPL,Petrochem,Petrochem subtype Others
GSS,Computers,Software
GTL,Telecom,Telecommunications subtype Equipment
GTLINFRA,Telecom,Telecommunications subtype Equipment
GTNIND,Textiles,Textiles subtype Spinning subtype Cotton Blended
GTOFFSHORE,Shipping,Shipping
GUFICBIO,Pharmaceuticals,Pharmaceuticals
GUJALKALI,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
GUJAPOLLO,Engineering,Heavy
GUJFLUORO,Chemicals,Chemicals subtype Organic subtype Others
GUJGASLTD,Gas,Miscellaneous
GUJNRECOKE,Coke,Coke Metallurgical Coke
GUJNREDVR,Coke,Coke Metallurgical Coke
GULFOILLUB,Chemicals,Chemicals subtype Others
GULFPETRO,Chemicals,Chemicals subtype Others
GULPOLY,Chemicals,Chemicals subtype Others
GVKPIL,Power,Generation Distribution
HANUNG,Misc,Toys
HARITASEAT,Auto Ancl,Auto Ancl subtype Others
HARRMALAYA,Tea subtype Coffee,Plantations subtype Tea & Coffee
HATHWAY,Entertainment,Entertainment Multi Media
HATSUN,Food Processing,Indian
HAVELLS,Electric,Equipment SwitchGare Circuit Breaker
HBLPOWER,Electric,Electric Equipment subtype General
HBSTOCK,Finance,Finance subtype Leasing & Hire Purchase
HCC,Construction,Construction & Contracting subtype Civil
HCG,NA,NA
HCLsubtypeINSYS,Computers,Computers subtype Hardware
HCLTECH,Computers,Software
HDFC,Finance,Finance subtype Housing
HDFCBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
HDIL,Construction,Construction and Contracting subtype Real Estate
HEG,Electronics,Electrodes subtype Graphite
HEIDELBERG,Cement,Major
HERCULES,Engineering,General
HERITGFOOD,Food Processing,Food Processing subtype Dairy
HEROMOTOCO,Auto,Auto subtype 2 & 3 Wheelers
HESTERBIO,Pharmaceuticals,Formulations
HEXATRADEX,Trading,Trading
HEXAWARE,Computers,Software
HFCL,Telecom,Telecommunications subtype Equipment
HGS,Computers, Medium  Small
HIGHGROUND,NA,NA
HIKAL,Pharmaceuticals,Pharmaceuticals
HIL,Cement,Cement subtype Products Building Materials
HILTON,Auto Ancl,Forgings
HIMATSEIDE,Textiles,Textiles subtype Synthetic Silk
HINDALCO,Aluminium,Aluminium
HINDCOMPOS,Auto Ancl,Auto Ancl subtype Dr. Trans & Steer subtype Clutch
HINDCOPPER,Metals,Metals subtype Non Ferrous subtype Copper Copper Alloys subtype Prod
HINDMOTORS,Auto,Auto subtype Cars & Jeeps
HINDNATGLS,Glass,Glass subtype Others
HINDOILEXP,Oil Drilling,Drilling Exploration
HINDPETRO,Refineries,Refineries
HINDUJAFO,Castings,Castings Foundry
HINDUJAVEN,Computers,Software
HINDUNILVR,FMCG,Personal Care
HINDZINC,Metals,Metals subtype Non Ferrous subtype Zinc Zinc Alloys subtype Products
HIRECT,Electronics,Electronics subtype Others
HISARMETAL,NA,NA
HITECHGEAR,Auto Ancl,Auto Ancl subtype Gears & Drive
HMVL,Printing,Printing Publishing Stationery
HONAUT,Misc,Instrumentation & Process Control
HONDAPOWER,Electric,Electric Equipment subtype Gensets Turbines
HOTELEELA,Hotels,Hotels
HOVS,Computers,IT Enabled Services
HPL,NA,NA
HSCL,NA,NA
HSIL,Ceramics,Ceramics Tiles Sanitaryware
HTMEDIA,Printing,Printing Publishing Stationery
HUBTOWN,Construction,Construction and Contracting subtype Real Estate
HUDCO,NA,NA
IBREALEST,Construction,Construction and Contracting subtype Real Estate
IBULHSGFIN,Finance,Finance subtype Investments
IBVENTURES,Finance,Finance subtype Investments
ICICIBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
ICICIPRULI,NA,NA
ICIL,Textiles,Textiles subtype Spinning subtype Cotton Blended
ICRA,Misc,Services subtype Others
ICSA,Computers,Software
IDBI,Banks subtype PSU,Finance subtype Banks subtype Public Sector
IDEA,Telecom,Telecommunications subtype Service
IDFC,Finance,Finance subtype Term Lending Institutions
IDFCBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
IFBAGRO,Chemicals,Chemicals subtype Organic subtype Alcohol Based
IFBIND,Consumer Goods,Consumer Goods subtype White subtype Washing Mach. Refrig. Oth
IFCI,Finance,Finance subtype Term Lending Institutions
IFGLREFRAC,Misc,Refractories
IGARASHI,Electric,Electric Equipment subtype General
IGL,Gas,Industrial Gas
IGPL,Chemicals,Chemicals subtype Organic subtype Maleic Anhydride
IIFL,Finance,Finance subtype Investments
IITL,Finance,Finance subtype Investments
IL&FSENGG,Construction,Construction & Contracting subtype Civil
IL&FSTRANS,Construction,Construction & Contracting subtype Civil
IMFA,Mining,Mining Minerals
IMPAL,Auto Ancl,Auto Ancl subtype Engine Parts
IMPEXFERRO,Misc,Ferro Alloys
INDBANK,Finance,Finance subtype General
INDHOTEL,Hotels,Hotels
INDIACEM,Cement,Major
INDIAGLYCO,Chemicals,Chemicals subtype Organic subtype Alcohol Based
INDIANB,Banks subtype PSU,Finance subtype Banks subtype Public Sector
INDIANCARD,Textiles,Textiles subtype Machinery
INDIANHUME,Cement,Cement subtype Products Building Materials
INDIGO,Transport,Transport subtype Air
INDLMETER,Electric,Electric Equipment subtype Transformers
INDNIPPON,Auto Ancl,Auto Ancl subtype Electrical
INDOCO,Pharmaceuticals,Pharmaceuticals
INDORAMA,Textiles,Textiles subtype Spinning subtype Synthetic Blended
INDOSOLAR,Misc,Non Conventional Energy subtype Generation Support Equip
INDOTECH,Power,Power subtype Transmission Equipment
INDOTHAI,Finance,Finance subtype Investments
INDOWIND,Power,Generation Distribution
INDRAMEDCO,Medical,Hospitals & Medical Services
INDSWFTLAB,Pharmaceuticals,Pharmaceuticals
INDTERRAIN,Textiles,Textiles subtype Readymade Apparels
INDUSINDBK,Banks subtype Private,Finance subtype Banks subtype Private Sector
INEOSSTYRO,NA,NA
INFIBEAM,NA,NA
INFINITE,Computers,Software
INFRATEL,Transmisson Line Towers,Transmisson Line Towers  Equipment
INFY,Computers,Software
INGERRAND,Compressors,Compressors
INOXLEISUR,Entertainment,Entertainment Multi Media
INOXWIND,Electric,Electric Equipment subtype General
INSECTICID,Agro,Pesticides Agro Chemicals
INTELLECT,Computers, Medium  Small
INTENTECH,NA,NA
INVENTURE,Finance,Finance subtype Investments
IOB,Banks subtype PSU,Finance subtype Banks subtype Public Sector
IOC,Refineries,Refineries
